[2018-07-25 20:08:32] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:32] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:32] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:32] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:32] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:32] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:32] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:33] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:33] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:33] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:33] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:33] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:33] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:33] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:33] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:33] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:34] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:34] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:34] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:34] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:34] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:34] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:34] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:34] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:34] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:34] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:34] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:35] servers/wechatProcess.py 74 qrCallback [INFO] msg:load contact MainThread-3632 pid:6564
[2018-07-25 20:08:35] servers/wechatProcess.py 105 loginCallback [INFO] msg:Login successfully as 不语 MainThread-3632 pid:6564
[2018-07-25 20:08:36] servers/wechatProcess.py 49 wechat [INFO] msg:{'MsgId': '8097281789455459525', 'FromUserName': '@350f502a936ea2a89fa8a01f0dd9ea6e0f62acc136c8ed8f6b0dc88b8aa826f8', 'ToUserName': '@350f502a936ea2a89fa8a01f0dd9ea6e0f62acc136c8ed8f6b0dc88b8aa826f8', 'MsgType': 51, 'Content': '', 'Status': 3, 'ImgStatus': 1, 'CreateTime': 1532520516, 'VoiceLength': 0, 'PlayLength': 0, 'FileName': '', 'FileSize': '', 'MediaId': '', 'Url': '', 'AppMsgType': 0, 'StatusNotifyCode': 4, 'StatusNotifyUserName': 'filehelper,@e65bc21e50d16f6a8bfe026c9b2ca955ebc6bfba17e50d0f83bc708b84bb8088,@61aa12f39377558088438b5fadb001ff,newsapp,@cc3b1e406b00ed5931f5ee0968700815,@2bf333c930166de4fbd127388c185e23,@9fd9207a998e96d155ca1f953af371e0,floatbottle,@@f2652d67806140898c5eae210b1417bea33557315b38cbd4acbf0e3dfe0c66ba,weixin,@94a69ad8e8c83f9432d7402795a6ce32e2c3b243677970f0426066648a3af9ae,@b52a27da4701395f975ccd2e1935c197', 'RecommendInfo': {'UserName': '', 'NickName': '', 'QQNum': 0, 'Province': '', 'City': '', 'Content': '', 'Signature': '', 'Alias': '', 'Scene': 0, 'VerifyFlag': 0, 'AttrStatus': 0, 'Sex': 0, 'Ticket': '', 'OpCode': 0}, 'ForwardFlag': 0, 'AppInfo': {'AppID': '', 'Type': 0}, 'HasProductId': 0, 'Ticket': '', 'ImgHeight': 0, 'ImgWidth': 0, 'SubMsgType': 0, 'NewMsgId': 8097281789455459525, 'OriContent': '', 'EncryFileName': '', 'User': <User: {'MemberList': <ContactList: []>, 'UserName': '@350f502a936ea2a89fa8a01f0dd9ea6e0f62acc136c8ed8f6b0dc88b8aa826f8', 'City': '', 'DisplayName': '', 'PYQuanPin': '', 'RemarkPYInitial': '', 'Province': '', 'KeyWord': '', 'RemarkName': '', 'PYInitial': '', 'EncryChatRoomId': '', 'Alias': '', 'Signature': '', 'NickName': '不语', 'RemarkPYQuanPin': '', 'HeadImgUrl': '/cgi-bin/mmwebwx-bin/webwxgeticon?seq=849242247&username=@350f502a936ea2a89fa8a01f0dd9ea6e0f62acc136c8ed8f6b0dc88b8aa826f8&skey=@crypt_5c69f960_7163f54e760b5dfdc54032c4f6194bb1', 'UniFriend': 0, 'Sex': 2, 'AppAccountFlag': 0, 'VerifyFlag': 0, 'ChatRoomId': 0, 'HideInputBarFlag': 0, 'AttrStatus': 0, 'SnsFlag': 0, 'MemberCount': 0, 'OwnerUin': 0, 'ContactFlag': 0, 'Uin': 1870958469, 'StarFriend': 0, 'Statues': 0, 'WebWxPluginSwitch': 0, 'HeadImgFlag': 1}>, 'Type': 'System', 'Text': [], 'SystemInfo': 'uins'} MainThread-3632 pid:6564
[2018-07-25 20:10:08] servers/wechatProcess.py 110 exitCallback [INFO] msg:exit successfully Thread-1-6276 pid:6564
[2018-07-25 20:10:24] E:\Project\wechat\servers\wechatInit.py 11 wechat_start [INFO] msg:wechat_start data=None MainThread-5720 pid:4180
[2018-07-25 20:10:24] E:\Project\wechat\servers\wechatInit.py 15 wechat_start [INFO] msg:fd0366f6bab445c74fa2ce11e7342a18 MainThread-5720 pid:4180
[2018-07-25 20:10:25] servers/wechatProcess.py 24 <module> [INFO] msg:["servers/wechatProcess.py", "fd0366f6bab445c74fa2ce11e7342a18"] MainThread-7344 pid:3252
[2018-07-25 20:10:25] servers/wechatProcess.py 26 <module> [INFO] msg:userKey = fd0366f6bab445c74fa2ce11e7342a18 MainThread-7344 pid:3252
[2018-07-25 20:10:25] servers/wechatProcess.py 62 qrCallback [INFO] msg:Please scan the QR code to log in MainThread-7344 pid:3252
